"Players","MIN","FG_Made","FG_Att","THREES_Made","THREES_Att","FT_Made","FT_Att","OREB","DREB","REB","AST","STL","BLK","TO","PF","PLUS_MINUS","PTS","Position","Reason_For_Benching","Played","Player_Id","Player_Id_Str","Team","Opponent","Game_Id","Date","Home","Neutral","OT_Rounds","Season","Season_Type","Result","Playoff_Round"
"F. Jackson","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","0","G","Played",TRUE,"4065651","frank-jackson","NO","HOU","401070215",2018-10-17,FALSE,0,0,2019,"Regular-Season","W","Non-Playoff"
"K. Williams","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","0","G","Played",TRUE,"3133626","kenrich-williams","NO","HOU","401070215",2018-10-17,FALSE,0,0,2019,"Regular-Season","W","Non-Playoff"
"I. Clark","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"2489785","ian-clark","NO","HOU","401070215",2018-10-17,FALSE,0,0,2019,"Regular-Season","W","Non-Playoff"
"R. Anderson","24","1","4","0","1","0","0","3","4","7","3","0","0","1","0","22","2","F","Played",TRUE,"3412","ryan-anderson","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"I. Canaan","34","3","10","2","5","0","0","0","6","6","7","0","0","1","4","-1","8","F","Played",TRUE,"4412182","isaiah-canaan","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"T. Ariza","37","7","12","5","9","2","2","0","8","8","7","1","0","0","2","25","21","F","Played",TRUE,"2426","trevor-ariza","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"D. Ayton","36","8","11","0","0","2","2","1","9","10","6","1","1","0","2","17","18","C","Played",TRUE,"4278129","deandre-ayton","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"D. Booker","33","12","19","6","10","5","6","0","4","4","7","0","0","3","4","22","35","G","Played",TRUE,"3136193","devin-booker","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"I. Canaan","34","3","10","2","5","0","0","0","6","6","7","0","0","1","4","7","8","G","Played",TRUE,"2490589","isaiah-canaan","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"T.J. Warren","24","5","12","3","4","4","4","1","0","1","1","2","0","3","3","-1","17","F","Played",TRUE,"2982334","tj-warren","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
